CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4
"TQRMNORUYHKNKMCDEGKDB00653990";2020;1;1;1;43;;14;198;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;2;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;0;"12";"12";"12";;;"12";0;"12";"12";"12";;;"12";0;1;0;3;4;0;0
"TQRMNOQXVHKNKQCDEGKDB00653991";2020;1;1;1;43;;14;132;1;;1;1;;4;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;0;"12";"12";"12";;;"12";0;"12";"12";"12";;;"12";0;1;2;98;0;0;0
"TQRMNORTPHKOKOCDEGKDB00653992";2020;1;1;1;43;;14;122;6;"CASILLA DE MADERA";1;2;;4;2;1;1;;1;2;2;3;1;2;2;1;1;2;0;2;2;2;0;0;0;0;1;;3;;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;2;0;2;20000;"02";"02";"02";;;"02";10000;"03";"03";"03";;;"04";180;2;0;98;0;0;0
"TQRMNORTQHKOKOCDEGKDB00653993";2020;1;1;1;43;;14;122;1;;2;2;;4;2;1;1;;1;1;2;2;1;2;2;2;2;2;0;2;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;3;1;2;37000;"04";"04";"05";;;"05";12333,33;"04";"04";"03";;;"05";136;1;0;98;0;0;0
"TQRMNORUUHMLKSCDEGKDB00630611";2020;1;1;1;43;;14;85;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;30500;"03";"04";"04";;;"04";10166,67;"03";"03";"03";;;"04";137;1;2;3;0;0;0
"TQRMNOPUVHJMKSCDEGKDB00624579";2020;1;3;1;43;;14;88;2;;1;1;;2;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;2;2;2;0;0;0;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;28000;"03";"03";"03";;;"03";28000;"07";"08";"07";;;"08";102;1;0;98;0;0;0
"TQRMNOPWUHKOKTCDEGKDB00653994";2020;1;1;1;43;;14;133;1;;1;1;;4;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;29000;"03";"03";"03";;;"04";29000;"08";"08";"08";;;"09";159;97;0;98;0;0;0
"TQRMNOPXQHKOKTCDEGKDB00653995";2020;1;1;1;43;;14;133;1;;2;2;;4;2;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;6;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;4;0;4;75000;"08";"08";"08";;;"09";18750;"05";"06";"05";;;"06";207;1;0;97;0;0;0
"TQRMNOPXSHKOKTCDEGKDB00653996";2020;1;1;1;43;;14;133;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;3;0;3;55000;"06";"07";"07";;;"08";18333,33;"05";"06";"05";;;"06";175;1;2;98;0;0;0
"TQRMNOQYPHKOKTCDEGKDB00653997";2020;1;1;1;43;;14;133;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;46000;"05";"06";"06";;;"06";46000;"09";"10";"09";;;"10";167;1;0;98;0;0;0
