CODUSU;ANO4;TRIMESTRE;CH04;CH06;AGLOMERADO;CH09;CH10;CH12;CH13;CH15;CH07;CAT_INAC;CAT_OCUP;PP07G1;PP07G2;PP07G3;PP07G4;PP07G_59;PP07H;PP07I;PP07J;PP07K;P47T;V3_M;T_VI;V12_M;TOT_P12;V5_M;V2_M;PP08D1;P21
135956;2005;1;2;10;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135956;2005;1;1;1;32;3;0;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135956;2005;1;1;1;32;3;0;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135980;2005;1;1;32;32;1;2;4;1;1;1;7;0;0;0;0;0;0;0;0;0;0;800;0;0;0;800;0;0;0;0
135980;2005;1;2;35;32;1;2;4;2;3;1;0;3;1;1;1;1;0;1;0;1;1;300;0;0;0;0;0;0;210;210
135980;2005;1;2;11;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;45;0;45;0;0;0;0;0;0
135980;2005;1;2;8;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;45;0;45;0;0;0;0;0;0
135980;2005;1;2;6;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;45;0;45;0;0;0;0;0;0
135980;2005;1;1;-1;32;3;0;0;0;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136082;2005;1;2;43;32;1;2;7;1;3;3;0;2;0;0;0;0;0;0;0;0;0;700;0;0;0;0;0;0;0;700
136082;2005;1;1;15;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136082;2005;1;2;13;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136620;2005;1;1;41;32;1;2;7;2;1;3;0;3;2;2;2;2;5;2;1;1;3;2200;0;0;0;0;0;0;1400;2200
136767;2005;1;1;34;32;1;2;2;1;1;2;0;3;1;1;1;1;0;1;0;1;1;2200;0;0;0;0;0;0;2200;2200
136767;2005;1;2;33;32;1;2;4;1;1;2;0;3;1;1;1;1;0;1;0;1;1;1300;0;0;0;0;0;0;1300;1300
136767;2005;1;2;9;32;1;1;2;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136767;2005;1;2;3;32;2;1;1;2;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
136892;2005;1;2;70;32;1;2;4;2;1;4;1;0;0;0;0;0;0;0;0;0;0;300;0;300;0;0;0;300;0;0
136892;2005;1;1;41;32;1;2;4;2;1;3;0;3;2;2;2;2;5;2;2;3;4;800;0;0;0;0;0;0;0;800
137044;2005;1;1;66;32;1;2;7;1;1;2;1;0;0;0;0;0;0;0;0;0;0;1500;0;1500;0;0;0;1500;0;0
137044;2005;1;2;57;32;1;2;7;1;5;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137044;2005;1;1;33;32;1;2;7;1;1;5;0;3;1;1;1;1;0;1;0;1;1;1800;0;0;0;0;0;0;1800;1800
137188;2005;1;1;61;32;1;2;2;1;3;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137188;2005;1;2;60;32;1;2;2;1;3;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137188;2005;1;1;27;32;1;1;7;2;1;5;0;3;1;1;1;1;0;1;0;1;1;300;0;0;0;0;0;0;300;300
137188;2005;1;2;30;32;1;1;7;2;1;5;0;3;1;1;1;1;0;1;0;1;1;600;0;0;0;0;0;0;600;600
137393;2005;1;2;52;32;1;2;2;1;3;3;0;3;2;2;2;2;5;2;2;1;4;40;0;0;0;0;0;0;40;40
137393;2005;1;2;28;32;1;2;4;2;2;2;0;3;2;2;2;2;5;2;2;1;1;150;0;0;0;0;0;0;150;150
137393;2005;1;1;25;32;1;2;6;2;2;5;0;3;1;1;1;1;0;1;0;3;1;600;0;0;0;0;0;0;600;600
137393;2005;1;2;23;32;1;1;4;2;2;5;0;3;1;1;1;2;0;1;0;2;1;280;0;0;0;0;0;0;280;280
137393;2005;1;2;16;32;1;1;4;2;1;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137393;2005;1;1;34;32;1;2;4;2;3;2;0;3;2;2;2;2;5;2;2;1;4;0;0;0;0;0;0;0;0;0
